Comment,Designator,Footprint,LCSC,Quantity
4K7,R10,R_0402_1005Metric,C105871,1
56pF,C17,C_0402_1005Metric,C107007,1
10R,R1,R_0603_1608Metric,C109318,1
2K2,"R8,R9",R_0402_1005Metric,C114762,2
22K1@1%,R17,R_0402_1005Metric,C163478,1
TPS54202DDCR,U5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C191884,1
TMC2209-LA-T,U3,QFN-28_L5.0-W5.0-P0.50-BL-EP,C2150710,1
1uF/50V,C1,C_0805_2012Metric,C215803,1
1K,R11,R_0603_1608Metric,C22548,1
5K1,R3,R_0603_1608Metric,C23186,1
MDA4020-100M,L2,IND-SMD_L4.5-W4.1_YXMAA0402,C2847473,1
MF254V-11-07-0743,"H1,H2",HDR-TH_7P-P2.54-V-F_MF254V-11-07-0743,C2889988,2
10uF/25v,C12,C_1210_3225Metric,C2918502,1
49.9K,R2,R_0603_1608Metric,C2930109,1
4.7uF,"C2,C3,C4",C_0805_2012Metric,C2991173,3
0.1uF/25v,C13,C_0603_1608Metric,C3011652,1
1R00,"R6,R7",R0805,C346776,2
DOZ30P03,Q1,PDFN-8_L3.1-W3.0-P0.65-LS3.3-BL,C36499166,1
100K@1%,R16,R_0402_1005Metric,C60491,1
22uF,"C15,C16,C18",C_0805_2012Metric,C6119901,3
TYPE-C 6P(073),USB1,TYPE-C-SMD_TYPE-C-6P_5,C668623,1
DS18B20U,U4,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,C695836,1
Conn_01x05_Socket,J1,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C7429635,1
HUSB238_002DD,U1,DFN-10_L3.0-W3.0-P0.50-BL-EP2.5,C7471904,1
100nF/50V,"C10,C11,C14,C7,C9",C_0402_1005Metric,C77020,5
22nF/50V,C6,C_0402_1005Metric,C77023,1
1uF/50V,C8,C_0603_1608Metric,C90540,1
4.7uF,C5,C_0603_1608Metric,C913474,1
20K,"R4,R5",R_0402_1005Metric,C93942,2
